AllowAnyDeviceId	false
InitStageId	Waltz
InitGold	200
InitPlatinumCoin	2
FuelChargeTime	600
FuelChargePlatinumCoinCost	1
FuelLocalNotificationMin	3
CobraPackTime	259200
RookiePackTime	259200
DiegoPackTime	259200
DailyBoxChargeTime	86400
DailyBoxGoldFirst	200
DailyBoxGoldMin	50
DailyBoxGoldMax	300
DailyBoxPlatinumCoinFirst	3
DailyBoxPlatinumCoinMin	1
DailyBoxPlatinumCoinMax	2
DailyBoxPlatinumCoinInterval	1
DailyBoxSchematicRandomSlot	5
DailyBoxCartridgeRandomSlot	6
CoinCostIncreaseIntervalBuySchematic	2
ShopSchematicRefreshTime	28800
ShopSchematicRefreshGold	1000
RevivePlatinumCoinStartCost	1
RevivePlatinumCoinIncreaseCost	1
RevivePlatinumCoinMaxIncrease	3
PlatinumCoinSkipTime	1800
WatchingAdDevelopSkipTime	1800
WatchingAdChargeFuel	1
WatchingAdChargeCatridge	1
MissionClearReward	20
ItemDropCountRangeRate	0.1
BossRushReviveLimit	3
BossRushReviveCost	1
GameModeResetGold	1000
AndroidAppUrl	market://details?id=com.nexonm.evilfactory
AppleId	1141511048
NexonFAQUrl	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_Korean	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_Japanese	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_French	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_Italian	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_German	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_Spanish	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_Portuguese	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonFAQUrl_ChineseTraditional	https://m.nexon.com/faq?client_id=MTk1MDM5MDkxMg
NexonTermUrl	https://www.nexonm.com/terms-of-use/
NexonTermUrl_Japan	https://www.nexonm.com/terms-of-use-japanese/
NexonTermUrl_Korea	http://m.nexon.com/terms/242
NexonTermUrl_Taiwan	http://m.nexon.com/terms/243
NexonTermUrl_German	https://www.nexonm.com/terms-of-use-german/
NexonTermUrl_France	https://www.nexonm.com/terms-of-use-french/
NexonPrivacyUrl	https://www.nexonm.com/privacy-policy/
NexonPrivacyUrl_Japan	https://www.nexonm.com/privacy-policy-japanese/
NexonPrivacyUrl_Korea	http://m.nexon.com/terms/246
NexonPrivacyUrl_Taiwan	http://m.nexon.com/terms/247
NexonPrivacyUrl_German	https://www.nexonm.com/privacy-policy-german/
NexonPrivacyUrl_France	https://www.nexonm.com/privacy-policy-french/
NexonCommercialLawUrl_Japan_Android	http://m.nexon.com/terms/249
NexonCommercialLawUrl_Japan_iOS	http://m.nexon.com/terms/250
NexonCoolingoffRight_Korea	https://m.nexon.com/terms/60
GooglePlayUrl	https://goo.gl/i9C8zP
AppStoreUrl	https://goo.gl/oQmujN
NexonCSTicket	https://m.nexon.com/cc/report/guest/write?client_id=MTk1MDM5MDkxMg
UserAgreementsUpdateVersion	1
